HomeTeam,AwayTeam,FTHG,FTAG,FTR
Birmingham,Ipswich,1,1,D
Charlton,Watford,1,0,H
Coventry,Hull,0,0,D
Southampton,Wrexham,2,1,H
Middlesbrough,Swansea,1,0,H
Norwich,Millwall,1,2,A
Oxford,Portsmouth,0,1,A
QPR,Preston,1,1,D
Stoke,Derby,3,1,H
West Brom,Blackburn,1,0,H
Sheffield United,Bristol City,1,4,A
Leicester,Sheffield Weds,2,1,H
Derby,Coventry,3,5,A
Portsmouth,Norwich,1,2,A
Wrexham,West Brom,2,3,A
Blackburn,Birmingham,1,2,A
Bristol City,Charlton,0,0,D
Millwall,Middlesbrough,0,3,A
Preston,Leicester,2,1,H
Sheffield Weds,Stoke,0,3,A
Swansea,Sheffield United,1,0,H
Watford,QPR,2,1,H
Ipswich,Southampton,1,1,D
Hull,Oxford,3,2,H
Derby,Bristol City,1,1,D
Charlton,Leicester,0,1,A
Hull,Blackburn,0,3,A
Swansea,Watford,1,1,D
Birmingham,Oxford,1,0,H
Coventry,QPR,7,1,H
Norwich,Middlesbrough,1,2,A
Preston,Ipswich,1,0,H
Sheffield United,Millwall,0,1,A
Southampton,Stoke,1,2,A
West Brom,Portsmouth,1,1,D
Wrexham,Sheffield Weds,2,2,D
Leicester,Birmingham,2,0,H
Middlesbrough,Sheffield United,1,0,H
QPR,Charlton,3,1,H
Stoke,West Brom,0,1,A
Blackburn,Norwich,0,2,A
Bristol City,Hull,4,2,H
Ipswich,Derby,2,2,D
Millwall,Wrexham,0,2,A
Oxford,Coventry,2,2,D
Portsmouth,Preston,1,0,H
Sheffield Weds,Swansea,0,2,A
Watford,Southampton,2,2,D
Ipswich,Sheffield United,5,0,H
Charlton,Millwall,1,1,D
Oxford,Leicester,2,2,D
Preston,Middlesbrough,2,2,D
Coventry,Norwich,1,1,D
Sheffield Weds,Bristol City,0,3,A
Stoke,Birmingham,1,0,H
Swansea,Hull,2,2,D
Watford,Blackburn,0,1,A
West Brom,Derby,0,1,A
Wrexham,QPR,1,3,A
Southampton,Portsmouth,0,0,D
Middlesbrough,West Brom,2,1,H
Birmingham,Swansea,1,0,H
Leicester,Coventry,0,0,D
QPR,Stoke,1,0,H
Derby,Preston,0,1,A
Hull,Southampton,3,1,H
Norwich,Wrexham,2,3,A
Portsmouth,Sheffield Weds,0,2,A
Sheffield United,Charlton,0,1,A
Bristol City,Oxford,1,3,A
Millwall,Watford,1,0,H
West Brom,Leicester,1,1,D
Coventry,Birmingham,3,0,H
Swansea,Millwall,1,1,D
Wrexham,Derby,1,1,D
Charlton,Blackburn,3,0,H
Ipswich,Portsmouth,2,1,H
Oxford,Sheffield United,0,1,A
Preston,Bristol City,0,0,D
Sheffield Weds,QPR,1,1,D
Southampton,Middlesbrough,1,1,D
Stoke,Norwich,1,1,D
Watford,Hull,2,1,H
Birmingham,Sheffield Weds,2,2,D
Blackburn,Swansea,1,2,A
Bristol City,Ipswich,1,1,D
Hull,Preston,2,2,D
Leicester,Wrexham,1,1,D
Middlesbrough,Stoke,0,0,D
Sheffield United,Southampton,1,2,A
Derby,Charlton,1,1,D
Millwall,Coventry,0,4,A
Norwich,West Brom,0,1,A
Portsmouth,Watford,2,2,D
QPR,Oxford,0,0,D
Wrexham,Birmingham,1,1,D
Blackburn,Stoke,1,1,D
Hull,Sheffield United,1,0,H
Sheffield Weds,Coventry,0,5,A
Bristol City,QPR,1,2,A
Derby,Southampton,1,1,D
Millwall,West Brom,3,0,H
Portsmouth,Middlesbrough,1,0,H
Preston,Charlton,2,0,H
Swansea,Leicester,1,3,A
Watford,Oxford,2,1,H
Ipswich,Norwich,3,1,H
Middlesbrough,Ipswich,2,1,H
Oxford,Derby,1,0,H
QPR,Millwall,1,2,A
Southampton,Swansea,0,0,D
Birmingham,Hull,2,3,A
Charlton,Sheffield Weds,2,1,H
Coventry,Blackburn,2,0,H
Norwich,Bristol City,0,1,A
Sheffield United,Watford,1,0,H
Stoke,Wrexham,1,0,H
West Brom,Preston,2,1,H
Leicester,Portsmouth,1,1,D
Blackburn,Sheffield United,1,3,A
Derby,Norwich,1,0,H
Hull,Leicester,2,1,H
Ipswich,Charlton,0,3,A
